gene,effect_size,t_p,u_p,n_tnbc,n_other,t_q,u_q
SMLR1,-0.09909140822670774,0.00011213534904008471,1.0301162821450111e-05,25,1181,0.07733457475529842,0.02739519080979258
BROX,-0.09716102859945024,0.00027206516128998836,1.06946815943644e-05,25,1181,0.12013151335680572,0.02739519080979258
OR4K2,-0.08714288940210764,2.929601695643379e-05,1.7103298612780592e-05,24,1065,0.052530688004581425,0.0383349059282211
GPAT3,-0.07250471666711503,9.773043066407709e-05,3.149325932447215e-05,25,1181,0.07619149357554636,0.056470563294711014
TMEM234,-0.09027343201079792,0.00019551342275039114,3.611014077319862e-05,25,1181,0.10233693358401684,0.058862812200384036
POFUT1,-0.10121672657920237,7.371205028128345e-05,4.7105005900252716e-05,25,1181,0.07619149357554636,0.07038665506645263
MTFR1L,-0.10838325549585132,0.00044162258392807047,5.241412639882193e-05,25,1181,0.13958647458021317,0.07229520772748277
LIX1L,-0.09742479953268987,0.0002806598805869454,7.108120264706637e-05,25,1181,0.12013151335680572,0.08497046964430315
CCDC82,-0.0793582481551276,0.00010701383092897806,8.69195564674099e-05,25,1181,0.07675460009550022,0.08884235880842112
FMC1,-0.07223643829562887,0.00041550943373097686,0.00010404827031268995,25,1181,0.13958647458021317,0.08884235880842112
CLTB,-0.1059013913599644,0.00010427885692564728,0.00011389788280329261,25,1181,0.07675460009550022,0.08917319477215381
A1CF,-0.08619715689735324,0.0006573758747397358,0.00013533586303755607,25,1181,0.161471326163811,0.0933348984664007
SMU1,-0.363324554210692,0.004168611752406585,0.00016393107930188388,25,1181,0.2768421382681573,0.09482090912780902
TRPC5,-0.08617365114627674,0.0015371813996304749,0.0002242203965352314,25,1181,0.20284919223340853,0.11741902550297391
LY6E,-0.12306664843711401,0.0007089106449425415,0.00023307548052486194,25,1181,0.16507963764235722,0.11741902550297391
H2AC6,-0.10934693213642888,0.0005614198926227982,0.0002694421621385805,25,1181,0.14828330358764077,0.11971237350806783
IFI6,-0.10254509344477301,0.0008388762269492154,0.00030148494684714553,25,1181,0.17289528305087795,0.12286196777082196
DRD1,-0.06681139274497044,0.0004665585463208412,0.0003223886260036924,25,1181,0.13958647458021317,0.12846112117493796
ZFX,-0.22211317124367536,0.0013862429799078467,0.00035472593261957875,25,1181,0.20208717782705365,0.13251230620420137
PRB4,-0.20200210430330007,0.0007273041868131293,0.00035124948977398974,12,370,0.16507963764235722,0.13251230620420137
FAM221B,-0.0803700661462518,0.0008231217480393012,0.00042403194720506265,25,1181,0.1716208844661943,0.1382421244606178
CREB3L4,-0.06479429187028327,0.001119806456316196,0.0005091180326991252,25,1181,0.19123094826862583,0.14807181063867333
APRT,-0.11358637769102478,0.0032844120359651016,0.0005202456120816698,25,1181,0.2549471524540703,0.14807181063867333
TEX46,-0.0869810582002844,0.0018064019433162715,0.0004822622952964348,25,1181,0.20630951111849724,0.14807181063867333
TRIM35,-0.0760470107080144,0.0023906498362408386,0.0004896455838112447,25,1181,0.2315478457677104,0.14807181063867333
CCT3,-0.2633241462755409,0.005726827408097582,0.0005036378232074946,25,1181,0.3015861955848254,0.14807181063867333
LSM2,-0.30451713347419496,0.0037458981672647607,0.000546704949840961,25,1181,0.2655018585376835,0.15081486854766574
POLR3A,-0.3211048467532809,0.00213529965320924,0.0005856077919408968,25,1181,0.2252238710687934,0.15142108037396032
C9orf57,-0.16304346490818847,0.003344224729480971,0.0006077459223519176,12,370,0.25736177521168796,0.15142108037396032
PSMA5,-0.2854856549396656,0.0032450776892475465,0.00060860800930088,25,1181,0.25409383426156223,0.15142108037396032
CDKN1A,-0.1746765875543648,9.905352459589864e-06,0.0006073084778724418,25,1181,0.04347533791418474,0.15142108037396032
SNRPF,-0.34286504312852717,0.0007536844368063704,0.0006008494678868888,25,1181,0.16803734706938736,0.15142108037396032
FBXL22,-0.06737228729210482,0.008533432951092743,0.0006712612636189218,25,1181,0.32695082531205977,0.16265386105339036
TMEM116,-0.059841455266056935,0.0032137453256468763,0.0007122811373885743,25,1181,0.2538575657893134,0.16373246683254467
AMELY,-0.16415292113802865,0.007438637258500866,0.0006965242589015298,12,370,0.3131037668595752,0.16373246683254467
NALCN,-0.09014799858950988,0.0003218850785954744,0.0006885646590584273,25,1181,0.12547220313685764,0.16373246683254467
SIGLEC8,-0.08139926442345702,0.02479087424315911,0.0007864097229587992,25,1181,0.4133464899823431,0.16535959242124867
TECRL,-0.09656330614505784,0.00040657550504797583,0.0008115355603742059,25,1181,0.13958647458021317,0.16535959242124867
VSTM1,-0.05513977116609198,0.0009610468200210836,0.0009506850319819884,25,1181,0.17765495391544384,0.1662081822058303
TEKT4,-0.12927050933298143,0.003282570612431087,0.0009725649494323908,25,1181,0.2549471524540703,0.1662081822058303
